place,name
Danforth,Grilled Ham Steak
Danforth,Crispy Tater Puffs
Danforth,Scrambled Eggs
Danforth,Buttermilk Pancakes
Danforth,Tortilla Chips
Danforth,Chipotle Meatloaf
Danforth,Broccoli
Danforth,White Rice
Danforth,Squash &amp; Zucchini
Danforth,Dinner Roll
Danforth,Rotisserie-style Chicken
Danforth,Country Chicken Gravy
Danforth,Homestyle Mashed Potatoes
Danforth,Homestyle Macaroni Salad
Danforth,Spicy Garlic Spinach
Danforth,Bbq Pork Sandwich
Danforth,Roasted Carrots
Danforth,Chicken Tenders
Danforth,Buttermilk Biscuit
Danforth,Scallion Mashed Potatoes
Danforth,Broccoli Rabe With Tomatoes
Danforth,Antipasto Salad
Danforth,Eggplant Parmesan Melt
Danforth,French Toast
Danforth,Pork Sausage Link
Danforth,Crispy Tater Puffs
Danforth,Classic Cheese Pizza
Danforth,Cajun Pizza
Danforth,Cheeseless Pizza
Danforth,Ham &amp; Swiss Sub
Danforth,Primavera Casserole
Danforth,Grilled Vegetable Stromboli
Danforth,Chicken &amp; Spinach Stromboli
Danforth,Stuffed Meatball
Danforth,Classic Cheese Pizza
Danforth,Sausage Pizza
Danforth,Classic Cheese Pizza
Danforth,Pepperoni Pizza
Danforth,Bagels Your Way
Danforth,Fried Egg
Danforth,Fruit And Yogurt Parfait
Danforth,Potato And Sweet Potato Hash
Danforth,Signature Chips
Danforth,Grilled Portabello Wrap
Danforth,Pesto Turkey &amp; Mozzarella Panini
Danforth,Pepperoni Melt
Danforth,Signature Chips
Danforth,Cucumber Feta Melt
Danforth,Salt &amp; Pepper Chips
Danforth,Grilled Ham &amp; Cheese Sandwich
Danforth,Four Cheese Panini
Danforth,Grilled Cheese With Tomato
Danforth,Chicken Adobo Grilled Cheese
Danforth,Southwest Potato Chips
Danforth,Bagels Your Way
Danforth,Assorted Donuts
Danforth,Danish
Danforth,Sugar Cookies
Danforth,Chocolate Chip Blondie
Danforth,Chocolate Chip Cookie
Danforth,Apple Caramel Waffle
Danforth,Double Chocolate Cookie
Danforth,Chocolate Chip Cookie
Danforth,Pound Cake With Strawberries
Danforth,Chocolate Chip Cookie
Danforth,Oatmeal Raisin Cookie
Danforth,Chocolate Chip Cookie
Danforth,Oatmeal Raisin Cookie
Danforth,Crunchy S'mores Bar
Danforth,Chocolate Chip Cookie
Danforth,Oatmeal Raisin Cookie
Danforth,Chocolate Cupcake
Danforth,Oatmeal Raisin Cookie
Danforth,Cinnamon Rolls
Danforth,Powdered Sugar Donut Bites
Danforth,Criss Cut Fries
Danforth,Grilled Herb Chicken Sandwich
Danforth,Mushroom Swiss Burger
Danforth,Straight Fries
Danforth,Falafel Pita Salad
Danforth,Chicken Satay With Jasmine Rice
Danforth,Crepes &amp;  Strawberry Filled (scratch)
Danforth,Tuna &amp; Cheddar Panini
Danforth,Straight Fries
Danforth,Loaded Fish Tacos
Danforth,Criss Cut Fries
Danforth,Turkey Burger Wheat
Danforth,Omelet Station
Danforth,Yellow Rice
Danforth,Indian Grilled Chicken
Danforth,Tilapia With Mango Salsa
Danforth,White Rice
Danforth,Grilled Cajun Chicken
Danforth,White Rice
Danforth,Vegetable Fried Rice
Danforth,Key West Catfish
Danforth,Omelet Station
Danforth,Asian Slaw
Danforth,Seafood Pasta Salad
Danforth,Curried Rice Salad
Danforth,Farro Vegetable Salad
Danforth,Cucumber Raita Salad
Danforth,Creamy Ranch Pasta Salad
Danforth,Malaysian Fish Curry
Danforth,Wild Mushroom Pasta
Danforth,Crudites With Ranch Dressing
Danforth,Malaysian Chicken Salad
Danforth,Mushroom Alfredo Pasta
Danforth,Braised Cabbage
Danforth,Caesar Salad
Danforth,Pork Pot Stickers
Danforth,Chicken Rogan Josh
Danforth,Chicken Tikka Masala
Danforth,Chunky Potato Chowder
Danforth,Vegetable  Rice Soup
Danforth,Chili Con Carne
Danforth,Beef Barley Mushroom Soup
Danforth,Chile Cheddar Potato Soup
Danforth,Sweet Tomato Soup
Danforth,Chicken Cream Soup
